source,destination,reason
docs/coap_rejection_history_and_revision_plan_20260611/ADDITIONAL_EXPERIMENT_DECISION.md,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/ADDITIONAL_EXPERIMENT_DECISION.md,archive stale/historical material
docs/coap_rejection_history_and_revision_plan_20260611/COAP_EDITORIAL_RISK_MAP.md,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/COAP_EDITORIAL_RISK_MAP.md,archive stale/historical material
docs/coap_rejection_history_and_revision_plan_20260611/COVER_LETTER_CONTENT_PLAN.md,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/COVER_LETTER_CONTENT_PLAN.md,archive stale/historical material
docs/coap_rejection_history_and_revision_plan_20260611/CURRENT_FRAMING_RISK_AUDIT.md,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/CURRENT_FRAMING_RISK_AUDIT.md,archive stale/historical material
docs/coap_rejection_history_and_revision_plan_20260611/EXECUTIVE_SUMMARY.md,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/EXECUTIVE_SUMMARY.md,archive stale/historical material
docs/coap_rejection_history_and_revision_plan_20260611/FINAL_PRE_SUBMISSION_SEQUENCE.md,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/FINAL_PRE_SUBMISSION_SEQUENCE.md,archive stale/historical material
docs/coap_rejection_history_and_revision_plan_20260611/FINAL_SCIENTIFIC_NARRATIVE.md,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/FINAL_SCIENTIFIC_NARRATIVE.md,archive stale/historical material
docs/coap_rejection_history_and_revision_plan_20260611/MANUSCRIPT_RESTRUCTURING_PLAN.md,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/MANUSCRIPT_RESTRUCTURING_PLAN.md,archive stale/historical material
docs/coap_rejection_history_and_revision_plan_20260611/OBJECTION_RESOLUTION_AUDIT.md,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/OBJECTION_RESOLUTION_AUDIT.md,archive stale/historical material
docs/coap_rejection_history_and_revision_plan_20260611/REJECTION_REASON_TAXONOMY.md,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/REJECTION_REASON_TAXONOMY.md,archive stale/historical material
docs/coap_rejection_history_and_revision_plan_20260611/SUBMISSION_LINEAGE.md,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/SUBMISSION_LINEAGE.md,archive stale/historical material
docs/coap_rejection_history_and_revision_plan_20260611/SUBMISSION_PACKAGE_GAP_ANALYSIS.md,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/SUBMISSION_PACKAGE_GAP_ANALYSIS.md,archive stale/historical material
docs/coap_rejection_history_and_revision_plan_20260611/audit_metadata.json,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/audit_metadata.json,archive stale/historical material
docs/coap_rejection_history_and_revision_plan_20260611/source_document_inventory.json,docs/archive/internal/coap_rejection_history_and_revision_plan_20260611/source_document_inventory.json,archive stale/historical material
submission_package/ejco_files_for_upload/UPLOAD_MANIFEST.md,docs/archive/legacy_submission_packages/ejco_submission_package/ejco_files_for_upload/UPLOAD_MANIFEST.md,archive stale/historical material
