instance_id,n,m,n_seeds,min_bw,q1_bw,median_bw,mean_bw,q3_bw,max_bw,std_bw,iqr_bw,cv_bw,n_distinct_bw,n_improved,pct_improved,median_improvement,max_improvement,n_zero_accepted,pct_zero_accepted,median_runtime,median_time_to_best,median_accepted_moves,median_best_iteration,incumbent_bw_at_start
bad,4,4,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.003781747999937579,0.0,0.0,0.0,1.0
bad1,13,14,20,94.0,94.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.009920702999806963,0.0,0.0,0.0,94.0
bad2,11,12,20,180.0,180.0,180.0,180.0,180.0,180.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.008962191000136954,0.0,0.0,0.0,180.0
bad3,4,5,20,1519.0,1519.0,1519.0,1519.0,1519.0,1519.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.005139071999792577,0.0,0.0,0.0,1519.0
bad4,10,11,20,877.0,877.0,877.0,877.0,877.0,877.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.008465277499908552,0.0,0.0,0.0,877.0
bad5,10,11,20,770.0,770.0,770.0,770.0,770.0,770.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.008528513500095869,0.0,0.0,0.0,770.0
bad6,9,10,20,218.0,218.0,218.0,218.0,218.0,218.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.008077789999788365,0.0,0.0,0.0,218.0
bad7,19,21,20,1724.0,1724.0,1724.0,1724.0,1724.0,1724.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.013282331000027625,0.0,0.0,0.0,1724.0
bigkey,3661,12206,20,346181.0,346181.0,346181.0,346181.0,346181.0,346181.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,1.2620456724998803,0.0,0.0,0.0,346181.0
complete2,2,2,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.0034603825001795485,0.0,0.0,0.0,1.0
complete3,3,6,20,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.00531948249999914,0.0,0.0,0.0,3.0
complete4,4,12,20,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.009228464499983602,0.0,0.0,0.0,6.0
complete5,5,20,20,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.01319067949998498,0.0,0.0,0.0,10.0
complete6,6,30,20,15.0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.016619689999970433,0.0,0.0,0.0,15.0
complete7,7,42,20,21.0,21.0,21.0,21.0,21.0,21.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.021327723500007778,0.0,0.0,0.0,21.0
complete8,8,56,20,28.0,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.02652667949996612,0.0,0.0,0.0,28.0
complete9,9,72,20,36.0,36.0,36.0,36.0,36.0,36.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.033534213499933685,0.0,0.0,0.0,36.0
daio_receiver,1942,3749,20,63398.0,63398.0,63398.0,63398.0,63398.0,63398.0,0.0,0.0,0.0,1,20,100.0,111.0,111.0,0,0.0,5.366746525500048,0.014520088499921258,1.0,1.0,63509.0
dene,2,2,20,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.0034451985000032437,0.0,0.0,0.0,2.0
dsip,4079,6602,20,62462.0,62462.0,62462.0,62462.0,62462.0,62462.0,0.0,0.0,0.0,1,20,100.0,2213.0,2213.0,0,0.0,8.2448474265002,0.07604124149975178,3.0,4.0,64675.0
ecc,1618,2843,20,96836.0,96836.0,96836.0,96836.0,96836.0,96836.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.8587080444999629,0.0,0.0,0.0,96836.0
example,18,32,20,32173.0,32173.0,32173.0,32173.0,32173.0,32173.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.010368229499817971,0.0,0.0,0.0,32173.0
example-bad1,5,6,20,4494.0,4494.0,4494.0,4494.0,4494.0,4494.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.006007777500144584,0.0,0.0,0.0,4494.0
example-bad2,4,8,20,15205.0,15205.0,15205.0,15205.0,15205.0,15205.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.007476692000182084,0.0,0.0,0.0,15205.0
example-bad3,5,6,20,1165.0,1165.0,1165.0,1165.0,1165.0,1165.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.006104224499722477,0.0,0.0,0.0,1165.0
