instance_id,exp4_ipsns,exp4_dr,winner
bad,1.0,1.0,tie
bad1,94.0,94.0,tie
bad2,180.0,180.0,tie
bad3,1519.0,1519.0,tie
bad4,877.0,877.0,tie
bad5,770.0,770.0,tie
bad6,218.0,218.0,tie
bad7,1724.0,1724.0,tie
bigkey,346181.0,349392.0,IPSNS
complete2,1.0,1.0,tie
complete3,3.0,3.0,tie
complete4,6.0,6.0,tie
complete5,10.0,10.0,tie
complete6,15.0,15.0,tie
complete7,21.0,21.0,tie
complete8,28.0,28.0,tie
complete9,36.0,36.0,tie
daio_receiver,63398.0,137731.0,IPSNS
dene,2.0,2.0,tie
dsip,62462.0,224845.0,IPSNS
ecc,96836.0,144755.0,IPSNS
example,32173.0,32703.0,IPSNS
example-bad1,4494.0,4494.0,tie
example-bad2,15205.0,15205.0,tie
example-bad3,1165.0,1165.0,tie
example-rev,118.0,118.0,tie
example.new,18638.0,18638.0,tie
gerez,-92.0,-104.0,DR
good,1.0,1.0,tie
gr-paper,5.0,5.0,tie
gr0,6410.0,6410.0,tie
gr1,15969.0,15969.0,tie
gr1-acyclic,0.0,0.0,tie
gr10,58481.0,59093.0,IPSNS
gr11,12414.0,12414.0,tie
gr11d,12414.0,12414.0,tie
gr12,2133.0,2133.0,tie
gr13,3987.0,3987.0,tie
gr14,14651.0,14651.0,tie
gr2,5118.0,5118.0,tie
gr3,2252.0,2252.0,tie
gr4,5118.0,5118.0,tie
gr4-shift,5118.0,5118.0,tie
gr4-shift2,5118.0,5118.0,tie
gr5,5118.0,5118.0,tie
gr6,14097.0,14097.0,tie
gr8,5118.0,5118.0,tie
gr9,6120.0,6120.0,tie
green,57.0,57.0,tie
green3,11.0,11.0,tie
green3nonzero,12.0,12.0,tie
green4,34.0,34.0,tie
grid,32954.0,58787.0,IPSNS
howard-max,-18.0,-28.0,DR
howard-min,11.0,11.0,tie
k3_3,-1234.0,-2221.0,DR
ku,-6.0,-6.0,tie
mm30a,16351.0,131258.0,IPSNS
mm4a,4053.0,9374.0,IPSNS
mm9a,9542.0,41550.0,IPSNS
mm9b,8278.0,60641.0,IPSNS
mult16a,14348.0,27855.0,IPSNS
mult16b,16618.0,24981.0,IPSNS
mult32a,40635.0,73405.0,IPSNS
parker1986,122961.0,249968.0,IPSNS
peterson,-332.0,-4396.0,DR
peterson1,-332.0,-4396.0,DR
peterson2,-1688.0,-5268.0,DR
phase_decoder,46676.0,82536.0,IPSNS
present,40.0,40.0,tie
r1000,4055.0,5649.0,IPSNS
r20_60,1688.0,1685.0,DR
rd_1024_2048_1,285351.0,713601.0,IPSNS
rd_10_30_1997,38091.0,38091.0,tie
rd_4_4_90,807.0,807.0,tie
rd_4_8_90,7842.0,7842.0,tie
rd_5_10_90,6343.0,6343.0,tie
rd_big,1061050.0,1614481.0,IPSNS
s1423,55340.0,87747.0,IPSNS
s208,2829.0,5474.0,IPSNS
s27,1905.0,2131.0,IPSNS
s344,6001.0,10488.0,IPSNS
s349,6729.0,12403.0,IPSNS
s382,10454.0,25030.0,IPSNS
s400,10329.0,23174.0,IPSNS
s420,158.0,1241.0,IPSNS
s444,8547.0,20097.0,IPSNS
s526,16261.0,27533.0,IPSNS
s526n,14826.0,28837.0,IPSNS
s5378,8013.0,137367.0,IPSNS
s641,2403.0,18385.0,IPSNS
s713,2339.0,23466.0,IPSNS
s838,16098.0,36351.0,IPSNS
s9234,29295.0,109660.0,IPSNS
s953,6228.0,42456.0,IPSNS
sample,40.0,40.0,tie
sbc,10094.0,50713.0,IPSNS
small,0.0,0.0,tie
stg,5.0,5.0,tie
stg0,-3.0,-19.0,DR
trace,2.0,2.0,tie
