instance,n,m,total_weight,exact_bw,lrta_bw,wmsf_bw,ipsns_bw,lrta_gap_abs,wmsf_gap_abs,ipsns_gap_abs,lrta_gap_rel,wmsf_gap_rel,ipsns_gap_rel,lrta_is_optimal,wmsf_is_optimal,ipsns_is_optimal,exact_time,lrta_time,wmsf_time,ipsns_time,exact_status,lrta_status,wmsf_status,ipsns_status
gr00,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,0.169634,0.000332,0.000177,0.000212,ok,ok,ok,ok
gr7,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,0.00035,0.00017,0.000151,0.000172,ok,ok,ok,ok
gr0,1,1,6410.0,6410.0,6410.0,6410.0,6410.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000475,0.000442,0.000408,0.000419,ok,ok,ok,ok
complete2,2,2,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.00042,0.000435,0.000478,0.003485,ok,ok,ok,ok
dene,2,2,6.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0004,0.000394,0.000421,0.003539,ok,ok,ok,ok
gr2,2,2,14930.0,5118.0,5118.0,5118.0,5118.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000368,0.000427,0.000416,0.00344,ok,ok,ok,ok
gr8,2,2,14930.0,5118.0,5118.0,5118.0,5118.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000375,0.000387,0.000393,0.000421,ok,ok,ok,ok
gr14,2,4,20683.0,14651.0,14651.0,14651.0,14651.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000397,0.000417,0.000472,0.004581,ok,ok,ok,ok
gr3,3,3,17182.0,2252.0,2252.0,2252.0,2252.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.00041,0.000397,0.000451,0.004395,ok,ok,ok,ok
gr4-shift,3,4,26641.0,5118.0,5118.0,5118.0,5118.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000395,0.000431,0.00046,0.004401,ok,ok,ok,ok
gr4-shift2,3,4,26641.0,5118.0,5118.0,5118.0,5118.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000408,0.000411,0.000442,0.004217,ok,ok,ok,ok
gr4,3,4,26641.0,5118.0,5118.0,5118.0,5118.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000394,0.000389,0.000456,0.003568,ok,ok,ok,ok
gr5,3,4,26641.0,5118.0,5118.0,5118.0,5118.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000384,0.000425,0.000476,0.003568,ok,ok,ok,ok
complete3,3,6,6.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000392,0.000396,0.000459,0.005115,ok,ok,ok,ok
gr6,3,6,35970.0,14097.0,14097.0,14666.0,14097.0,0.0,569.0,0.0,0.0,0.01581874,0.0,True,False,True,0.00039,0.000437,0.000463,0.005171,ok,ok,ok,ok
green3,3,9,24.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.00039,0.000425,0.000479,0.006908,ok,ok,ok,ok
green3nonzero,3,9,25.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000401,0.000406,0.000497,0.007268,ok,ok,ok,ok
bad,4,4,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000399,0.0004,0.000404,0.003645,ok,ok,ok,ok
good,4,4,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000527,0.000531,0.000565,0.004099,ok,ok,ok,ok
rd_4_4_90,4,4,22292.0,807.0,807.0,807.0,807.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000409,0.00042,0.000443,0.004727,ok,ok,ok,ok
bad3,4,5,8287.0,1519.0,1519.0,1632.0,1519.0,0.0,113.0,0.0,0.0,0.01363582,0.0,True,False,True,0.000392,0.000391,0.000449,0.005077,ok,ok,ok,ok
gr11,4,5,33937.0,12414.0,12414.0,12414.0,12414.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000393,0.000392,0.000447,0.004241,ok,ok,ok,ok
gr11d,4,5,45397.0,12414.0,12414.0,12414.0,12414.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000393,0.00041,0.000455,0.004188,ok,ok,ok,ok
gr13,4,5,38849.0,3987.0,3987.0,3987.0,3987.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000405,0.000397,0.000456,0.004987,ok,ok,ok,ok
rd_4_8_90,4,6,44181.0,7842.0,7842.0,7842.0,7842.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000401,0.000426,0.000551,0.005673,ok,ok,ok,ok
present,4,7,340.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000395,0.000386,0.000471,0.005574,ok,ok,ok,ok
